County,Official Court Contact Page,General Court Phone,Clerk / Clerk's Office Phone,Publicly Listed Clerk/Court Email,Status,Notes,Official Court Contact Source,Secondary Source,Verified Date
Glenn,https://www.glenn.courts.ca.gov/general-information/locations-contact-info,,,,No public clerk email found,Official locations/contact page did not expose a clerk email in available text results.,https://www.glenn.courts.ca.gov/general-information/locations-contact-info,,2026-04-05
Humboldt,https://www.humboldt.courts.ca.gov/general-information/contact-uslocations,(707) 269-1200,(707) 269-1200,,Main public phone found; no separate clerk email found,No separate clerk email verified in this pass.,https://www.oncalllegal.com/court-phone-numbers,https://www.humboldt.courts.ca.gov,2026-04-05
Imperial,https://www.imperial.courts.ca.gov/,(760) 482-2248,(760) 482-2248,,Single public court phone found; no public clerk email found,Statewide directory instructs users to contact clerk at the same published phone.,https://www.oncalllegal.com/court-phone-numbers,https://www.imperial.courts.ca.gov,2026-04-05
Inyo,https://www.inyo.courts.ca.gov/locations,(760) 872-2631,(760) 872-2631,,Single public court phone found; no public clerk email found,No separate clerk email verified in this pass.,https://www.oncalllegal.com/court-phone-numbers,https://www.inyo.courts.ca.gov,2026-04-05
Kern,https://www.kern.courts.ca.gov/general-information/locations-contact-info,,,,No public clerk email found,Official locations/contact page did not expose a clerk email in available text results.,https://www.kern.courts.ca.gov/general-information/locations-contact-info,,2026-04-05
Kings,https://www.kings.courts.ca.gov/general-information/location-contact-info,,,,No public clerk email found,Official location/contact page did not expose a clerk email in available text results.,https://www.kings.courts.ca.gov/general-information/location-contact-info,,2026-04-05
Lake,https://www.lake.courts.ca.gov/,(707) 263-2374,(707) 263-2374,,Single public court phone found; no public clerk email found,Statewide directory instructs users to contact clerk at the same published phone.,https://www.oncalllegal.com/court-phone-numbers,https://www.lake.courts.ca.gov,2026-04-05
Lassen,https://www.lassencourt.ca.gov,,,,No public clerk email found,"Official contact link was listed in the California court directory, but no public clerk email was verified in available results.",https://www.lassencourt.ca.gov,,2026-04-05
Los Angeles,https://www.lacourt.ca.gov/pages/lp/court-communications/tp/about-the-court/cp/contact-the-court,,,,No public clerk email found,Official court contact pages showed phone/in-person options; no public clerk email verified in available results.,https://www.lacourt.ca.gov/pages/lp/court-communications/tp/about-the-court/cp/contact-the-court,,2026-04-05
Madera,https://www.madera.courts.ca.gov/,(559) 416-5700,(559) 416-5700,,Main public phone found; no public clerk email found,No separate clerk email verified in this pass.,https://www.oncalllegal.com/court-phone-numbers,https://www.madera.courts.ca.gov,2026-04-05
Marin,https://www.marin.courts.ca.gov/,,,,No public clerk email found,"Official contact link was listed in the California court directory, but no public clerk email was verified in available results.",https://www.marin.courts.ca.gov/,,2026-04-05
Mariposa,https://www.mariposa.courts.ca.gov/,,,,No public clerk email found,"Official contact link was listed in the California court directory, but no public clerk email was verified in available results.",https://www.mariposa.courts.ca.gov/,,2026-04-05
Mendocino,https://www.mendocino.courts.ca.gov/general-information/locations-contact-info,,,,No public clerk email found,Official locations/contact page was identified; no public clerk email was verified in available results.,https://www.mendocino.courts.ca.gov/general-information/locations-contact-info,,2026-04-05
Merced,https://www.merced.courts.ca.gov/,(209) 725-4100,(209) 725-4100,,Single public court phone found; no public clerk email found,Statewide directory instructs users to contact clerk at the same published phone.,https://www.oncalllegal.com/court-phone-numbers,https://www.merced.courts.ca.gov,2026-04-05
Modoc,https://www.modoc.courts.ca.gov/,,,,No public clerk email found,"Official contact link was listed in the California court directory, but no public clerk email was verified in available results.",https://www.modoc.courts.ca.gov/,,2026-04-05
Mono,https://www.mono.courts.ca.gov/,,,,No public clerk email found,"Official contact link was listed in the California court directory, but no public clerk email was verified in available results.",https://www.mono.courts.ca.gov/,,2026-04-05
Monterey,https://www.monterey.courts.ca.gov/,,,,No public clerk email found,"Official contact link was listed in the California court directory, but no public clerk email was verified in available results.",https://www.monterey.courts.ca.gov/,,2026-04-05
Napa,https://www.napa.courts.ca.gov/,(707) 299-1100,(707) 299-1100,,Main public phone found; no public clerk email found,No separate clerk email verified in this pass.,https://www.oncalllegal.com/court-phone-numbers,https://www.napa.courts.ca.gov,2026-04-05
Nevada,https://www.nevada.courts.ca.gov/,,,,No public clerk email found,"Official contact link was listed in the California court directory, but no public clerk email was verified in available results.",https://www.nevada.courts.ca.gov/,,2026-04-05
Orange,https://www.occourts.org/,,,,No public clerk email found,"Official court site/contact link was identified, but no public clerk email was verified in available results.",https://www.occourts.org/,,2026-04-05
Placer,https://placer.courts.ca.gov,(530) 886-5200,(530) 886-5200,,Main public phone found; no public clerk email found,No separate clerk email verified in this pass.,https://www.oncalllegal.com/court-phone-numbers,https://www.placer.courts.ca.gov,2026-04-05
Plumas,https://www.plumascourt.ca.gov,,,,No public clerk email found,"Official contact link was listed in the California court directory, but no public clerk email was verified in available results.",https://www.plumascourt.ca.gov,,2026-04-05
Riverside,https://www.riverside.courts.ca.gov/,,,,No public clerk email found,"Official contact link was listed in the California court directory, but no public clerk email was verified in available results.",https://www.riverside.courts.ca.gov/,,2026-04-05
Sacramento,https://www.saccourt.ca.gov/contact.aspx,,,,No public clerk email found,"Official contact page was identified, but no public clerk email was visible in available results.",https://www.saccourt.ca.gov/contact.aspx,,2026-04-05
San Benito,https://www.sanbenito.courts.ca.gov/,(831) 636-4057,(831) 636-4057,,Main public phone found; no public clerk email found,No separate clerk email verified in this pass.,https://www.oncalllegal.com/court-phone-numbers,https://www.sanbenito.courts.ca.gov,2026-04-05
San Bernardino,https://www.sb-court.org,,,,No public clerk email found,"Official court site/contact link was identified, but no public clerk email was verified in available results.",https://www.sb-court.org,,2026-04-05
San Diego,https://www.sdcourt.ca.gov/sdcourt/generalinformation/contactus,,,,No public clerk email found,Official contact page was identified; available results emphasized phone/webmaster contact rather than a clerk email.,https://www.sdcourt.ca.gov/sdcourt/generalinformation/contactus,,2026-04-05
San Francisco,https://sf.courts.ca.gov/general-information/locations-contact-information,,,,No public clerk email found,"Official locations/contact page was identified, but no public clerk email was verified in available results.",https://sf.courts.ca.gov/general-information/locations-contact-information,,2026-04-05
San Joaquin,https://www.sjcourts.org/,,,,No public clerk email found,"Official contact link was listed in the California court directory, but no public clerk email was verified in available results.",https://www.sjcourts.org/,,2026-04-05
San Luis Obispo,https://www.slo.courts.ca.gov/,,,,No public clerk email found,"Official contact link was listed in the California court directory, but no public clerk email was verified in available results.",https://www.slo.courts.ca.gov/,,2026-04-05
San Mateo,https://sanmateo.courts.ca.gov/public-resources/contact-us,,,,No public clerk email found,Official contact page stated the court could not respond to case-related inquiries through the online inquiry page in available results.,https://sanmateo.courts.ca.gov/public-resources/contact-us,,2026-04-05
Santa Barbara,https://www.santabarbara.courts.ca.gov/,(805) 882-4600,(805) 882-4600,,Main public phone found; no public clerk email found,No separate clerk email verified in this pass.,https://www.oncalllegal.com/court-phone-numbers,https://www.santabarbara.courts.ca.gov,2026-04-05
Santa Clara,https://santaclara.courts.ca.gov/general-information/locations-contact-info/phone-numbers-email-addresses,(408) 882-2100,(408) 882-2100,courtnews@scscourt.org,Main public phone and public court email found,Public court email available; not clearly a filing clerk inbox.,https://www.scscourt.org,https://www.scscourt.org,2026-04-05
Santa Cruz,https://www.santacruz.courts.ca.gov/general-information/locations-contact-info,,,,No public clerk email found,"Official locations/contact page was identified, but no public clerk email was verified in available results.",https://www.santacruz.courts.ca.gov/general-information/locations-contact-info,,2026-04-05
Shasta,https://www.shasta.courts.ca.gov/,,,,No public clerk email found,"Official contact link was listed in the California court directory, but no public clerk email was verified in available results.",https://www.shasta.courts.ca.gov/,,2026-04-05
Sierra,https://www.sierra.courts.ca.gov/general-information/locations-contact-info,(530) 289-3698,(530) 289-3698,sierracourt@sierracourt.org,Main public phone and public court email found,Public court email available on court contact materials reviewed earlier.,https://www.sierra.courts.ca.gov,https://www.sierra.courts.ca.gov,2026-04-05
Siskiyou,https://www.siskiyou.courts.ca.gov/,(530) 841-2900,(530) 841-2900,,Single public court phone found; no public clerk email found,Statewide directory instructs users to contact clerk at the same published phone.,https://www.oncalllegal.com/court-phone-numbers,https://www.siskiyou.courts.ca.gov,2026-04-05
Solano,https://solano.courts.ca.gov,,,,No public clerk email found,"Official contact link was listed in the California court directory, but no public clerk email was verified in available results.",https://solano.courts.ca.gov,,2026-04-05
Sonoma,https://sonoma.courts.ca.gov,,,,No public clerk email found,"Official contact link was listed in the California court directory, but no public clerk email was verified in available results.",https://sonoma.courts.ca.gov,,2026-04-05
Stanislaus,https://www.stanct.org,,,,No public clerk email found,"Official contact link was listed in the California court directory, but no public clerk email was verified in available results.",https://www.stanct.org,,2026-04-05
Sutter,https://www.suttercourts.com,,,,No public clerk email found,"Official contact link was listed in the California court directory, but no public clerk email was verified in available results.",https://www.suttercourts.com,,2026-04-05
Tehama,https://www.tehama.courts.ca.gov/,(530) 527-3350,(530) 527-3350,,Single public court phone found; no public clerk email found,Statewide directory instructs users to contact clerk at the same published phone.,https://www.oncalllegal.com/court-phone-numbers,https://www.tehama.courts.ca.gov,2026-04-05
Trinity,https://www.trinity.courts.ca.gov/,,,,No public clerk email found,"Official contact link was listed in the California court directory, but no public clerk email was verified in available results.",https://www.trinity.courts.ca.gov/,,2026-04-05
Tulare,https://www.tulare.courts.ca.gov/,(559) 730-5000,(559) 730-5000,,Main public phone found; no public clerk email found,No separate clerk email verified in this pass.,https://www.oncalllegal.com/court-phone-numbers,https://www.tulare.courts.ca.gov,2026-04-05
Tuolumne,https://www.tuolumne.courts.ca.gov/,(209) 533-5519,(209) 533-5519,,Single public court phone found; no public clerk email found,Statewide directory instructs users to contact clerk at the same published phone.,https://www.oncalllegal.com/court-phone-numbers,https://www.tuolumne.courts.ca.gov,2026-04-05
Ventura,https://www.ventura.courts.ca.gov/,,,,No public clerk email found,"Official contact link was listed in the California court directory, but no public clerk email was verified in available results.",https://www.ventura.courts.ca.gov/,,2026-04-05
Yolo,https://www.yolo.courts.ca.gov/,,,,No public clerk email found,"Official contact link was listed in the California court directory, but no public clerk email was verified in available results.",https://www.yolo.courts.ca.gov/,,2026-04-05
Yuba,https://www.yuba.courts.ca.gov/,,,,No public clerk email found,"Official contact link was listed in the California court directory, but no public clerk email was verified in available results.",https://www.yuba.courts.ca.gov/,,2026-04-05
